Root	root
Aerococcus	genus
Aeromicrobium	genus
Aeromonadaceae	family
Aeromonadales	order
Aeromonas	genus
Aeropyrum	genus
Aestuariibacter	genus
Afipia	genus
Agarivorans	genus
Aggregatibacter	genus
Agreia	genus
Agrobacterium	genus
Agrococcus	genus
Agromonas	genus
Agromyces	genus
Ahrensia	genus
Akkermansia	genus
Albibacter	genus
Albidovulum	genus
Alcaligenaceae	family
Alcaligenes	genus
Alcanivoraceae	family
Alcanivorax	genus
Algibacter	genus
Algicola	genus
Algoriphagus	genus
Alicycliphilus	genus
Alicyclobacillaceae Incertae Sedis	genus
Alicyclobacillus	genus
Alishewanella	genus
Alistipes	genus
Alkalibacillus	genus
Alkalibacter	genus
Alkalibacterium	genus
Alkaliflexus	genus
Alkalilimnicola	genus
Alkaliphilus	genus
Alkalispirillum	genus
Alkanindiges	genus
Allobaculum	genus
Allochromatium	genus
Allofustis	genus
Alloiococcus	genus
Allomonas	genus
Alphaproteobacteria	class
Alteromonadaceae	family
Alteromonadales	order
Alteromonadales Incertae Sedis	family
Alteromonas	genus
Alysiella	genus
Amaricoccus	genus
Aminobacter	genus
Aminobacterium	genus
Aminomonas	genus
Ammonifex	genus
Ammoniphilus	genus
Amphibacillus	genus
Amycolatopsis	genus
Anaeroarcus	genus
Anaerobacter	genus
Anaerobaculum	genus
Anaerobiospirillum	genus
Anaerobranca	genus
Anaerococcus	genus
Anaerofilum	genus
Anaerofustis	genus
Anaeroglobus	genus
Anaerolinaeceea	family
Anaerolinaeles	order
Anaerolinea	genus
Anaerolineae	class
Anaeromusa	genus
Anaeromyxobacter	genus
Anaerophaga	genus
Anaeroplasma	genus
Anaeroplasmataceae	family
Anaeroplasmatales	order
Anaerosinus	genus
Anaerostipes	genus
Anaerotruncus	genus
Anaerovorax	genus
Anaplasma	genus
Anaplasmataceae	family
Ancalomicrobium	genus
Ancylobacter	genus
Aneurinibacillus	genus
Angulomicrobium	genus
Anoxybacillus	genus
Anoxynatronum	genus
Antarctobacter	genus
Aquabacterium	genus
Aquamicrobium	genus
Aquaspirillum	genus
Aquicella	genus
Aquifex	genus
Aquificaceae	family
Aquificae	phylum,class
Aquificales	order
Aquificales Incertae Sedis	family
Aquiflexum	genus
Aquimarina	genus
Aquimonas	genus
Aquitalea	genus
Arcanobacterium	genus
Archaea	domain
Archaeoglobaceae	family
Archaeoglobales	order
Archaeoglobi	class
Archaeoglobus	genus
Archangium	genus
Arcicella	genus
Arcobacter	genus
Arenibacter	genus
Arhodomonas	genus
Arsenicicoccus	genus
Arsenophonus	genus
Arthrobacter	genus
Asaia	genus
Asanoa	genus
Asteroleplasma	genus
Asticcacaulis	genus
Atopobacter	genus
Atopobium	genus
Atopococcus	genus
Atopostipes	genus
Aurantimonadaceae	family
Aurantimonas	genus
Avibacterium	genus
Azoarcus	genus
Azohydromonas	genus
Azonexus	genus
Azorhizobium	genus
Azospira	genus
Azospirillum	genus
Azotobacter	genus
Azovibrio	genus
BRC1	phylum
BRC1_genera_incertae_sedis	genus
Bacillaceae	family
Bacillales	order
Bacillales Incertae Sedis XI	family
Bacillariophyta	genus
Bacilliales Incertae Sedis X	family
Bacilliales Incertae Sedis XII	family
Bacillus	supergenus
Bacillus I	genus
Bacillus a	genus
Bacillus b	genus
Bacillus c	genus
Bacillus d	genus
Bacillus e	genus
Bacillus f	genus
Bacillus g	genus
Bacillus h	genus
Bacillus j	genus
Bacillus k	genus
Bacteria	domain
Bacteriovoracaceae	family
Bacteriovorax	genus
Bacteroidaceae	family
Bacteroidales	order
Bacteroides	genus
Bacteroidetes	phylum,class
Balnearium	genus
Balneatrix	genus
Balneimonas	genus
Balneola	genus
Bangiophyceae	genus
Bartonella	genus
Bartonellaceae	family
Bdellovibrio	genus
Bdellovibrionaceae	family
Bdellovibrionales	order
Beggiatoa	genus
Beijerinckia	genus
Beijerinckiaceae	family
Belliella	genus
Belnapia	genus
Beneckea	genus
Bergeriella	genus
Bergeyella	genus
Betaproteobacteria	class
Beutenbergia	genus
Beutenbergiaceae	family
Bifidobacteriaceae	family
Bifidobacteriales	order
Bifidobacteriales Incertae Sedis	family
Bifidobacterium	genus
Bilophila	genus
Bizionia	genus
Blastobacter	genus
Blastochloris	genus
Blastococcus	genus
Blastomonas	genus
Blastopirellula	genus
Bordetella	genus
Borrelia	genus
Bosea	genus
Brachybacterium	genus
Brachymonas	genus
Brachyspira	genus
Brackiella	genus
Bradyrhizobiaceae	family
Bradyrhizobium	genus
Branhamella	genus
Brenneria	genus
Brevibacillus	genus
Brevibacteriaceae	family
Brevibacterium	genus
Brevinema	genus
Brevundimonas	genus
Brochothrix	genus
Brooklawnia	genus
Brucella	genus
Brucellaceae	family
Brumimicrobium	genus
Bryantella	genus
Buchnera	genus
Budvicia	genus
Bulleidia	genus
Burkholderia	genus
Burkholderiaceae	family
Burkholderiales	order
Burkholderiales Incertae Sedis	family
Buttiauxella	genus
Butyrivibrio	genus
Byssovorax	genus
Caedibacter	genus
Caenibacterium	genus
Caldanaerobacter	genus
Caldicellulosiruptor	genus
Caldilinea	genus
Caldilineacea	family
Caldilineae	subclass
Caldilineales	order
Caldimonas	genus
Caldisphaera	genus
Caldisphaeraceae	family
Caldisphaerales	order
Caldithrix	genus
Caldivirga	genus
Caloramator	genus
Caloranaerobacter	genus
Caminibacter	genus
Caminicella	genus
Campylobacter	genus
Campylobacteraceae	family
Campylobacterales	order
Candidatus Liberibacter	genus
Capnocytophaga	genus
Carboxydocella	genus
Carboxydothermus	genus
Cardinium	genus
Cardiobacteriaceae	family
Cardiobacteriales	order
Cardiobacterium	genus
Carnimonas	genus
Carnobacterium	genus
Caryophanon	genus
Castellaniella	genus
Catellatospora	genus
Catellibacterium	genus
Catenibacterium	genus
Catenulispora	genus
Catenulisporaceae	family
Catenuloplanes	genus
Catonella	genus
Caulobacter	genus
Caulobacteraceae	family
Caulobacterales	order
Cedecea	genus
Cellulomonadaceae	family
Cellulomonas	genus
Cellulophaga	genus
Cellulosimicrobium	genus
Cellvibrio	genus
Centipeda	genus
Cerasibacillus	genus
Cetobacterium	genus
Chelatococcus	genus
Chitinibacter	genus
Chitinimonas	genus
Chitinophaga	genus
Chlamydia	genus
Chlamydiaceae	family
Chlamydiae	phylum,class
Chlamydiales	order
Chlamydophila	genus
Chlorarachniophyceae	genus
Chlorobaculum	genus
Chlorobi	phylum
Chlorobia	class
Chlorobiaceae	family
Chlorobiales	order
Chlorobium	genus
Chloroflexaceae	family
Chloroflexales	order
Chloroflexi	phylum,class
Chloroflexus	genus
Chloroherpeton	genus
Chloronema	genus
Chlorophyta	genus
Chloroplast	family
Chondromyces	genus
Chromatiaceae	family
Chromatiales	order
Chromatium	genus
Chromobacterium	genus
Chromohalobacter	genus
Chryseobacterium	genus
Chryseomonas	genus
Chrysiogenaceae	family
Chrysiogenales	order
Chrysiogenes	genus
Chrysiogenetes	phylum,class
Citreicella	genus
Citricoccus	genus
Citrobacter	genus
Clavibacter	genus
Cloacibacterium	genus
Clostridiaceae	family
Clostridiaceae 2	subfamily
Clostridiaceae 2 Incertae Sedis	genus
Clostridiaceae 3	subfamily
Clostridiaceae 4	subfamily
Clostridiales	order
Clostridiales Incertae Sedis XI	family
Clostridiales Incertae Sedis XII	family
Clostridiales Incertae Sedis XIII	family
Clostridiales Incertae Sedis XIV	family
Clostridiales Incertae Sedis XV	family
Clostridiales Incertae Sedis XVI	family
Clostridiales Incertae Sedis XVII	family
Clostridiales Incertae Sedis XVIII	family
Clostridium	genus
Cobetia	genus
Coenonia	genus
Cohnella	genus
Collimonas	genus
Collinsella	genus
Colwellia	genus
Colwelliaceae	family
Comamonadaceae	family
Comamonas	genus
Conchiformibius	genus
Conexibacter	genus
Coprobacillus	genus
Coprococcus	genus
Coprothermobacter	genus
Corallococcus	genus
Coriobacteriaceae	family
Coriobacteriales	order
Coriobacteridae	subclass
Coriobacterineae	suborder
Coriobacterium	genus
Corynebacteriaceae	family
Corynebacterineae	suborder
Corynebacterium	genus
Costertonia	genus
Couchioplanes	genus
Coxiella	genus
Coxiellaceae	family
Craurococcus	genus
Crenarchaeota	phylum
Crenothrix	genus
Crenotrichaceae	family
Croceibacter	genus
Crocinitomix	genus
Crossiella	genus
Cryobacterium	genus
Cryomorpha	genus
Cryomorphaceae	family
Cryptanaerobacter	genus
Cryptobacterium	genus
Cryptomonadaceae	genus
Cryptosporangium	genus
Cupriavidus	genus
Curtobacterium	genus
Curvibacter	genus
Cyanobacteria	phylum,class
Cyclobacterium	genus
Cycloclasticus	genus
Cystobacter	genus
Cystobacteraceae	family
Cystobacterineae	suborder
Cytophaga	genus
Dactylosporangium	genus
Dechloromonas	genus
Deferribacter	genus
Deferribacteraceae	family
Deferribacterales	order
Deferribacterales Incertae Sedis	family
Deferribacteres	phylum,class
Defluvibacter	genus
Defluviicoccus	genus
Dehalobacter	genus
Dehalococcoides	phylum
Dehalococcoides_genera_incertae_sedis	genus
Deinococcaceae	family
Deinococcales	order
Deinococci	class
Deinococcus	genus
Deinococcus-Thermus	phylum
Delftia	genus
Deltaproteobacteria	class
Demetria	genus
Dendrosporobacter	genus
Denitratisoma	genus
Denitrobacterium	genus
Denitrovibrio	genus
Dermabacter	genus
Dermabacteraceae	family
Dermacoccaceae	family
Dermacoccus	genus
Dermatophilaceae	family
Dermatophilus	genus
Derxia	genus
Desemzia	genus
Desulfacinum	genus
Desulfarcales	order
Desulfarculaceae	family
Desulfarculus	genus
Desulfatibacillum	genus
Desulfitibacter	genus
Desulfitobacterium	genus
Desulfobacca	genus
Desulfobacter	genus
Desulfobacteraceae	family
Desulfobacterales	order
Desulfobacterium	genus
Desulfobacula	genus
Desulfobulbaceae	family
Desulfobulbus	genus
Desulfocapsa	genus
Desulfocella	genus
Desulfococcus	genus
Desulfofaba	genus
Desulfofrigus	genus
Desulfofustis	genus
Desulfohalobiaceae	family
Desulfohalobium	genus
Desulfomicrobiaceae	family
Desulfomicrobium	genus
Desulfomonile	genus
Desulfonatronovibrio	genus
Desulfonatronum	genus
Desulfonatronumaceae	family
Desulfonauticus	genus
Desulfonema	genus
Desulfonispora	genus
Desulforegula	genus
Desulforhabdus	genus
Desulforhopalus	genus
Desulfosarcina	genus
Desulfospira	genus
Desulfosporosinus	genus
Desulfotalea	genus
Desulfothermus	genus
Desulfotignum	genus
Desulfotomaculum	genus
Desulfovibrio	genus
Desulfovibrionaceae	family
Desulfovibrionales	order
Desulfurella	genus
Desulfurellaceae	family
Desulfurellales	order
Desulfurobacterium	genus
Desulfurococcaceae	family
Desulfurococcales	order
Desulfurococcus	genus
Desulfuromonaceae	family
Desulfuromonales	order
Desulfuromonas	genus
Desulfuromusa	genus
Dethiosulfovibrio	genus
Devosia	genus
Dialister	genus
Diaphorobacter	genus
Dichelobacter	genus
Dickeya	genus
Dictyoglomaceae	family
Dictyoglomales	order
Dictyoglomi	phylum,class
Dictyoglomus	genus
Dietzia	genus
Dietziaceae	family
Dinoroseobacter	genus
Dokdonella	genus
Dokdonia	genus
Dolosicoccus	genus
Dolosigranulum	genus
Donghaeana	genus
Dorea	genus
Duganella	genus
Dyadobacter	genus
Dyella	genus
Dysgonomonas	genus
Echinicola	genus
Ectothiorhodospira	genus
Ectothiorhodospiraceae	family
Edwardsiella	genus
Effluviibacter	genus
Eggerthella	genus
Ehrlichia	genus
Eikenella	genus
Elizabethkingia	genus
Empedobacter	genus
Emticicia	genus
Enhydrobacter	genus
Enhygromyxa	genus
Ensifer	genus
Enterobacter	genus
Enterobacteriaceae	family
Enterobacteriales	order
Enterococcus	genus
Enterovibrio	genus
Entomoplasma	genus
Entomoplasmataceae	family
Entomoplasmatales	order
Epilithonimonas	genus
Epsilonproteobacteria	class
Eremococcus	genus
Erwinia	genus
Erysipelothrix	genus
Erysipelotrichaceae	family
Erysipelotrichaceae Incertae Sedis	genus
Erythrobacter	genus
Erythromicrobium	genus
Escherichia	genus
Ethanoligenens	genus
Eubacterium	genus
Euglenida	genus
Euryarchaeota	phylum
Ewingella	genus
Exiguobacterium	genus
Fabibacter	genus
Facklamia	genus
Faecalibacterium	genus
Family I	family
Family II	family
Family III	family
Family IV	family
Family IX	family
Family V	family
Family VI	family
Family VII	family
Family VIII	family
Family X	family
Family XI	family
Family XII	family
Family XIII	family
Fastidiosipila	genus
Ferribacterium	genus
Ferrimonas	genus
Ferrimonidaceae	family
Ferroglobus	genus
Ferroplasma	genus
Ferroplasmataceae	family
Fervidobacterium	genus
Fibrobacter	genus
Fibrobacteraceae	family
Fibrobacterales	order
Fibrobacteres	phylum,class
Filifactor	genus
Filobacillus	genus
Filomicrobium	genus
Finegoldia	genus
Firmicutes	phylum
Flammeovirga	genus
Flammeovirgaceae	family
Flavimonas	genus
Flavobacteria	class
Flavobacteriaceae	family
Flavobacteriales	order
Flavobacterium	genus
Flectobacillus	genus
Flexibacter	genus
Flexibacteraceae	family
Flexistipes	genus
Flexithrix	genus
Fluoribacter	genus
Fluviicola	genus
Formivibrio	genus
Formosa	genus
Francisella	genus
Francisellaceae	family
Frankineae	suborder
Frateuria	genus
Friedmanniella	genus
Frigoribacterium	genus
Fulvimarina	genus
Fulvimonas	genus
Fusibacter	genus
Fusobacteria	phylum,class
Fusobacteriaceae	family
Fusobacteriales	order
Fusobacteriales Incertae Sedis	family
Fusobacterium	genus
Gaetbulibacter	genus
Gaetbulimicrobium	genus
Gallibacterium	genus
Gallicola	genus
Gallionella	genus
Gallionellaceae	family
Gammaproteobacteria	class
Garciella	genus
Gardnerella	genus
Gelidibacter	genus
Gelria	genus
Gemella	genus
Gemmata	genus
Gemmatimonadaceae	family
Gemmatimonadales	order
Gemmatimonadetes	phylum,class
Gemmatimonas	genus
Geobacillus	genus
Geobacter	genus
Geobacteraceae	family
Geodermatophilaceae	family
Geodermatophilus	genus
Geoglobus	genus
Geopsychrobacter	genus
Georgenia	genus
Geothermobacter	genus
Geotoga	genus
Geovibrio	genus
Giesbergeria	genus
Gillisia	genus
Glaciecola	genus
Globicatella	genus
Gluconacetobacter	genus
Gluconobacter	genus
Glycomyces	genus
Glycomycetaceae	family
Glycomycineae	suborder
Goodfellowia	genus
Gordonia	genus
Gordoniaceae	family
Gp1	genus
Gp10	genus
Gp11	genus
Gp12	genus
Gp13	genus
Gp14	genus
Gp15	genus
Gp16	genus
Gp17	genus
Gp18	genus
Gp19	genus
Gp2	genus
Gp20	genus
Gp21	genus
Gp22	genus
Gp23	genus
Gp24	genus
Gp25	genus
Gp26	genus
Gp3	genus
Gp4	genus
Gp5	genus
Gp6	genus
Gp7	genus
Gp8	genus
Gp9	genus
GpI	genus
GpIII	genus
GpIIa	genus
GpIIb	genus
GpIV	genus
GpIX	genus
GpV	genus
GpVI	genus
GpVII	genus
GpVIII	genus
GpX	genus
GpXI	genus
GpXII	genus
GpXIII	genus
Gracilibacillus	genus
Gracilibacter	genus
Gramella	genus
Granulicatella	genus
Grimontia	genus
Guggenheimella	genus
Gulosibacter	genus
Haemophilus	genus
Hafnia	genus
Hahella	genus
Hahellaceae	family
Halalkalicoccus	genus
Halanaerobacter	genus
Halanaerobiaceae	family
Halanaerobiales	order
Halanaerobium	genus
Haliangiaceae	family
Haliangium	genus
Haliscomenobacter	genus
Hallella	genus
Haloarcula	genus
Halobacillus	genus
Halobacteria	class
Halobacteriaceae	family
Halobacteriales	order
Halobacterium	genus
Halobacteroidaceae	family
Halobacteroides	genus
Halobiforma	genus
Halocella	genus
Halochromatium	genus
Halococcus	genus
Haloferax	genus
Halogeometricum	genus
Halolactibacillus	genus
Halomonadaceae	family
Halomonas	genus
Halonatronum	genus
Halorhabdus	genus
Halorhodospira	genus
Halorubrum	genus
Halosimplex	genus
Halospina	genus
Halostagnicola	genus
Haloterrigena	genus
Halothermothrix	genus
Halothiobacillaceae	family
Halothiobacillus	genus
Halovibrio	genus
Halovivax	genus
Helcococcus	genus
Helicobacter	genus
Helicobacteraceae	family
Heliobacterium	genus
Heliophilum	genus
Heliorestis	genus
Herbaspirillum	genus
Herbidospora	genus
Herminiimonas	genus
Herpetosiphon	genus
Herpetosiphonaceae	family
Herpetosiphonales	order
Hespellia	genus
Hippea	genus
Hirschia	genus
Histophilus	genus
Hoeflea	genus
Holdemania	genus
Holospora	genus
Holosporaceae	family
Hongiella	genus
Hydrocarboniphaga	genus
Hydrogenimonaceae	family
Hydrogenimonas	genus
Hydrogenivirga	genus
Hydrogenobacter	genus
Hydrogenobaculum	genus
Hydrogenophaga	genus
Hydrogenophilaceae	family
Hydrogenophilales	order
Hydrogenophilus	genus
Hydrogenovibrio	genus
Hylemonella	genus
Hymenobacter	genus
Hyperthermus	genus
Hyphomicrobiaceae	family
Hyphomicrobium	genus
Hyphomonas	genus
Ideonella	genus
Idiomarina	genus
Idiomarinaceae	family
Ignavigranum	genus
Ignicoccus	genus
Ignisphaera	genus
Ilyobacter	genus
Inquilinus	genus
Intrasporangiaceae	family
Intrasporangium	genus
Iodobacter	genus
Isobaculum	genus
Isochromatium	genus
Isoptericola	genus
Isosphaera	genus
Janibacter	genus
Jannaschia	genus
Janthinobacterium	genus
Jeotgalibacillus	genus
Jeotgalicoccus	genus
Jiangella	genus
Johnsonella	genus
Jonesia	genus
Jonesiaceae	family
Kaistella	genus
Kaistia	genus
Kangiella	genus
Kerstersia	genus
Ketogulonicigenium	genus
Kibdelosporangium	genus
Kineococcus	genus
Kineosphaera	genus
Kineosporia	genus
Kineosporiaceae	family
Kingella	genus
Kitasatospora	genus
Klebsiella	genus
Kluyvera	genus
Knoellia	genus
Kocuria	genus
Korarchaeota	phylum
Korarchaeota_genera_incertae_sedis	genus
Kordia	genus
Kordiimonadaceae	family
Kordiimonadales	order
Kordiimonas	genus
Kozakia	genus
Kribbella	genus
Krokinobacter	genus
Kurthia	genus
Kutzneria	genus
Kytococcus	genus
Labrys	genus
Laceyella	genus
Lachnobacterium	genus
Lachnospira	genus
Lacinutrix	genus
Lactobacillaceae	family
Lactobacillus	genus
Lactococcus	genus
Lactovum	genus
Lamprocystis	genus
Lampropedia	genus
Laribacter	genus
Larkinella	genus
Lawsonia	genus
Leadbetterella	genus
Lebetimonas	genus
Lechevalieria	genus
Leclercia	genus
Leeuwenhoekiella	genus
Legionella	genus
Legionellaceae	family
Legionellales	order
Leifsonia	genus
Leisingera	genus
Leminorella	genus
Lentibacillus	genus
Lentisphaera	genus
Lentisphaeraceae	family
Lentisphaerae	phylum,class
Lentisphaerales	order
Lentzea	genus
Leptolinea	genus
Leptonema	genus
Leptospira	genus
Leptospiraceae	family
Leptospirillum	genus
Leptothrix	genus
Leptotrichia	genus
Leucobacter	genus
Leuconostoc	genus
Leucothrix	genus
Levilinea	genus
Lewinella	genus
Limnobacter	genus
Listeria	genus
Listonella	genus
Loktanella	genus
Lonepinella	genus
Longispora	genus
Luteimonas	genus
Luteococcus	genus
Lutibacter	genus
Lysobacter	genus
Macrococcus	genus
Macromonas	genus
Magnetobacterium	genus
Magnetospirillum	genus
Mahella	genus
Malikia	genus
Malonomonas	genus
Mannheimia	genus
Maribacter	genus
Maricaulis	genus
Marichromatium	genus
Marinibacillus	genus
Marinicola	genus
Mariniflexile	genus
Marinilabilia	genus
Marinilactibacillus	genus
Marinimicrobium	genus
Marinithermus	genus
Marinitoga	genus
Marinobacter	genus
Marinobacterium	genus
Marinococcus	genus
Marinomonas	genus
Marinospirillum	genus
Marinovum	genus
Marmoricola	genus
Martelella	genus
Massilia	genus
Mechercharimyces	genus
Megamonas	genus
Meganema	genus
Megasphaera	genus
Meiothermus	genus
Melissococcus	genus
Melittangium	genus
Mesonia	genus
Mesoplasma	genus
Mesorhizobium	genus
Metallosphaera	genus
Methanimicrococcus	genus
Methanobacteria	class
Methanobacteriaceae	family
Methanobacteriales	order
Methanobacterium	genus
Methanobrevibacter	genus
Methanocalculus	genus
Methanocaldococcaceae	family
Methanocaldococcus	genus
Methanococcaceae	family
Methanococcales	order
Methanococci	class
Methanococcoides	genus
Methanococcus	genus
Methanocorpusculaceae	family
Methanocorpusculum	genus
Methanoculleus	genus
Methanofollis	genus
Methanogenium	genus
Methanohalobium	genus
Methanohalophilus	genus
Methanolobus	genus
Methanomethylovorans	genus
Methanomicrobia	class
Methanomicrobiaceae	family
Methanomicrobiales	order
Methanomicrobiales Incertae Sedis	family
Methanoplanus	genus
Methanopyraceae	family
Methanopyrales	order
Methanopyri	class
Methanopyrus	genus
Methanosaetaceae	family
Methanosarcina	genus
Methanosarcinaceae	family
Methanosarcinales	order
Methanosphaera	genus
Methanothermaceae	family
Methanothermobacter	genus
Methanothermococcus	genus
Methanothermus	genus
Methanothrix	genus
Methanotorris	genus
Methylarcula	genus
Methylibium	genus
Methylobacillus	genus
Methylobacter	genus
Methylobacteriaceae	family
Methylobacterium	genus
Methylocaldum	genus
Methylocapsa	genus
Methylocella	genus
Methylococcaceae	family
Methylococcales	order
Methylococcus	genus
Methylocystaceae	family
Methylocystis	genus
Methylohalobius	genus
Methylomicrobium	genus
Methylomonas	genus
Methylophaga	genus
Methylophilaceae	family
Methylophilales	order
Methylophilus	genus
Methylopila	genus
Methylorhabdus	genus
Methylosarcina	genus
Methylosinus	genus
Methylosphaera	genus
Methylothermus	genus
Methylovorus	genus
Microbacteriaceae	family
Microbacterium	genus
Microbispora	genus
Microbulbifer	genus
Microcella	genus
Micrococcaceae	family
Micrococcineae	suborder
Micrococcus	genus
Microlunatus	genus
Micromonospora	genus
Micromonosporaceae	family
Micromonosporineae	suborder
Micropolyspora	genus
Micropruina	genus
Microscilla	genus
Microtetraspora	genus
Microvirga	genus
Microvirgula	genus
Millisia	genus
Mitsuaria	genus
Mitsuokella	genus
Mobiluncus	genus
Modestobacter	genus
Moellerella	genus
Mogibacterium	genus
Mollicutes	class
Moorella	genus
Moraxella	genus
Moraxellaceae	family
Morganella	genus
Moritella	genus
Moritellaceae	family
Moryella	genus
Mucispirillum	genus
Muricauda	genus
Muricoccus	genus
Myceligenerans	genus
Mycetocola	genus
Mycobacteriaceae	family
Mycobacterium	genus
Mycoplana	genus
Mycoplasma	genus
Mycoplasmataceae	family
Mycoplasmatales	order
Myroides	genus
Myxococcaceae	family
Myxococcales	order
Myxococcus	genus
Nakamurella	genus
Nakamurellaceae	family
Nannocystaceae	family
Nannocystineae	suborder
Nanoarchaeum	phylum
Nanoarchaeum_genera_incertae_sedis	genus
Natrialba	genus
Natrinema	genus
Natroniella	genus
Natronincola	genus
Natronobacterium	genus
Natronococcus	genus
Natronolimnobius	genus
Natronorubrum	genus
Nautilia	genus
Nautiliaceae	family
Nautiliales	order
Naxibacter	genus
Neisseria	genus
Neisseriaceae	family
Neisseriales	order
Neochlamydia	genus
Neoehrlichia	genus
Neorickettsia	genus
Neptunomonas	genus
Nereida	genus
Nesiotobacter	genus
Nesterenkonia	genus
Nevskia	genus
Niastella	genus
Nicoletella	genus
Nitratifractor	genus
Nitratireductor	genus
Nitratiruptor	genus
Nitrincola	genus
Nitrobacter	genus
Nitrococcus	genus
Nitrosococcus	genus
Nitrosomonadaceae	family
Nitrosomonadales	order
Nitrosomonas	genus
Nitrosospira	genus
Nitrospina	genus
Nitrospinaceae	family
Nitrospira	phylum,class,genus
Nitrospiraceae	family
Nitrospirales	order
Nocardia	genus
Nocardiaceae	family
Nocardioidaceae	family
Nocardioides	genus
Nocardiopsaceae	family
Nocardiopsis	genus
Nonlabens	genus
Nonomuraea	genus
Novosphingobium	genus
OD1	phylum
OD1_genera_incertae_sedis	genus
OP10	phylum
OP10_genera_incertae_sedis	genus
OP11	phylum
OP11_genera_incertae_sedis	genus
Obesumbacterium	genus
Oceanibulbus	genus
Oceanicaulis	genus
Oceanicola	genus
Oceanimonas	genus
Oceanisphaera	genus
Oceanithermus	genus
Oceanobacillus	genus
Oceanobacter	genus
Oceanospirillaceae	family
Oceanospirillales	order
Oceanospirillum	genus
Ochrobactrum	genus
Octadecabacter	genus
Odyssella	genus
Oenococcus	genus
Oerskovia	genus
Okibacterium	genus
Oleiphilaceae	family
Oleiphilus	genus
Oleispira	genus
Oligella	genus
Oligotropha	genus
Olleya	genus
Olsenella	genus
Opitutaceae	family
Opitutus	genus
Orenia	genus
Oribacterium	genus
Orientia	genus
Ornithinicoccus	genus
Ornithinimicrobium	genus
Ornithobacterium	genus
Oryzihumus	genus
Oscillochloridaceae	family
Oscillochloris	genus
Ottowia	genus
Owenweeksia	genus
Oxalobacter	genus
Oxalobacteraceae	family
Oxalophagus	genus
Oxobacter	genus
Paenibacillus	genus
Palaeococcus	genus
Palleronia	genus
Paludibacter	genus
Pandoraea	genus
Pannonibacter	genus
Pantoea	genus
Papillibacter	genus
Parabacteroides	genus
Parachlamydia	genus
Parachlamydiaceae	family
Paracoccus	genus
Paracraurococcus	genus
Paralactobacillus	genus
Paraliobacillus	genus
Parascardovia	genus
Parasporobacterium	genus
Parvibaculum	genus
Parvimonas	genus
Parvularcula	genus
Parvularculaceae	family
Parvularculales	order
Pasteurella	genus
Pasteurellaceae	family
Pasteurellales	order
Pasteuriaceae Incertae Sedis	genus
